json_path,img_path,label_c,label_u,label_w,label_p,label_a,bbox_coord
../skintelligent-1-sep-2019/under eye bags/Eye-Bags-Treatment-before-1933115-2319859.json,Google_Clean images_cropped/under eye bags/Eye-Bags-Treatment-before-1933115-2319859.jpg,1,3,2,1,1,
../skintelligent-1-sep-2019/RS_Clean images/106611-3292684-d515b78e42f6b0df8cb0200305fcc691.json,RS_Clean images_cropped/106611-3292684-d515b78e42f6b0df8cb0200305fcc691.jpg,1,3,1,1,1,[  0.           0.         325.82562318 340.           0.99998403]
../skintelligent-1-sep-2019/acne/59_left.json,Google_Clean images_cropped/acne/59_left.png,1,2,1,2,1,[ 57.04123412   0.         640.         720.           0.99996424]
../skintelligent-1-sep-2019/RS_Clean images/106611-5877370-0b2a58d01541a3164c16792858386763.json,RS_Clean images_cropped/106611-5877370-0b2a58d01541a3164c16792858386763.jpg,2,1,1,1,1,[ 51.75022323   0.         307.83740536 323.94858035   0.99998021]
../skintelligent-1-sep-2019/RS_Clean images/25-4298275-c25ecd690774391bcffb6cbb60afd12c.json,RS_Clean images_cropped/25-4298275-c25ecd690774391bcffb6cbb60afd12c.jpg,1,1,1,3,1,[ 18.99873836   0.         340.         453.           0.99928385]
../skintelligent-1-sep-2019/RS_Clean images/237-954436-2de94fe5be1d13751557d75ed5b6f8ef.json,RS_Clean images_cropped/237-954436-2de94fe5be1d13751557d75ed5b6f8ef.jpg,1,1,2,1,1,[  9.88303359   0.         321.96751802 453.           0.99857759]
../skintelligent-1-sep-2019/RS_Clean images/25-1918384-3bb03d1eaacc390415800470f33f6d92.json,RS_Clean images_cropped/25-1918384-3bb03d1eaacc390415800470f33f6d92.jpg,1,2,1,1,1,[ 50.89088357   0.         297.97562461 340.           0.99998689]
../skintelligent-1-sep-2019/brightness/60_left.json,Google_Clean images_cropped/brightness/60_left.png,1,2,1,2,1,[ 10.44510288  18.19244687 274.         403.93308352   0.99999738]
../skintelligent-1-sep-2019/acne/16_right.json,Google_Clean images_cropped/acne/16_right.png,1,1,1,1,1,"[0.00000000e+00 0.00000000e+00 7.39063267e+02 1.10176132e+03
 9.99949455e-01]"
../skintelligent-1-sep-2019/crows feet/Before_After_Gallery_BOTOX_Cosmetifc.json,Google_Clean images_cropped/crows feet/Before_After_Gallery_BOTOX_Cosmetifc.jpg,2,2,1,1,1,[ 17.2973181    0.         174.         346.80446152   0.99999428]
../skintelligent-1-sep-2019/RS_Clean images/25-4832241-819091ef8cc19589eb915a074413db9c.json,RS_Clean images_cropped/25-4832241-819091ef8cc19589eb915a074413db9c.jpg,1,1,2,2,1,[ 84.77830468   9.74610012 270.28956045 290.05160129   0.99998283]
../skintelligent-1-sep-2019/fine lines/Dysport-after-3882644-2860046.json,Google_Clean images_cropped/fine lines/Dysport-after-3882644-2860046.png,1,1,3,1,1,[ 25.11825518   0.         301.34202235 340.           0.99999964]
../skintelligent-1-sep-2019/RS_Clean images/25-2372828-5ec63899f1594681594d2385cb2c6d23.json,RS_Clean images_cropped/25-2372828-5ec63899f1594681594d2385cb2c6d23.jpg,1,2,1,1,1,[  8.76449102   0.         315.33611222 340.           0.99957103]
../skintelligent-1-sep-2019/RS_Clean images/106611-3175345-f8fb232afea40f104b1f126e8781a6de.json,RS_Clean images_cropped/106611-3175345-f8fb232afea40f104b1f126e8781a6de.jpg,2,1,2,1,1,[  0.           0.         340.         340.           0.99958748]
../skintelligent-1-sep-2019/brightness/Blue-Peel-before-5830228-3262991.json,Google_Clean images_cropped/brightness/Blue-Peel-before-5830228-3262991.png,3,2,2,1,1,[  0.           0.         340.         340.           0.99998188]
../skintelligent-1-sep-2019/RS_Clean images/25-7421609-18d993b74d02ed52d67f0d9f11c0f11e.json,RS_Clean images_cropped/25-7421609-18d993b74d02ed52d67f0d9f11c0f11e.jpg,2,2,1,2,1,[ 32.83025312   0.         294.16178513 311.31368273   0.99995589]
../skintelligent-1-sep-2019/RS_Clean images/237-574749-6f480410881e22844b32353e4405256a.json,RS_Clean images_cropped/237-574749-6f480410881e22844b32353e4405256a.jpg,3,3,2,1,1,[  1.80104913   0.         340.         453.           0.99988699]
../skintelligent-1-sep-2019/acne/185_left.json,Google_Clean images_cropped/acne/185_left.png,1,1,1,2,3,[  5.41042409   0.         240.         411.2648674    0.99986148]
../skintelligent-1-sep-2019/RS_Clean images/25-2019008-7bf35d46c7a4309e6a2d08fb70537c24.json,RS_Clean images_cropped/25-2019008-7bf35d46c7a4309e6a2d08fb70537c24.jpg,2,3,1,2,1,[  0.           0.         256.         256.           0.99948537]
../skintelligent-1-sep-2019/RS_Clean images/106611-3243164-ee288d7b2e8a3b29590ecd4b4f224dd5.json,RS_Clean images_cropped/106611-3243164-ee288d7b2e8a3b29590ecd4b4f224dd5.jpg,2,1,3,1,1,[ 14.4953589    0.         297.5028271  340.           0.99999964]
../skintelligent-1-sep-2019/RS_Clean images/25-709606-9988b47237b7a6493d4cbcb553f6e4b2.json,RS_Clean images_cropped/25-709606-9988b47237b7a6493d4cbcb553f6e4b2.jpg,1,1,1,2,1,[  0.           0.         313.56830154 441.15531322   0.99998879]
../skintelligent-1-sep-2019/RS_Clean images/106611-7916305-04eb14ff8b9d928809d006e3a3fa3c25.json,RS_Clean images_cropped/106611-7916305-04eb14ff8b9d928809d006e3a3fa3c25.jpg,1,2,1,1,1,[ 91.24920712   0.         242.79471474 228.75930638   0.98830962]
../skintelligent-1-sep-2019/pigmentation/30_left.json,Google_Clean images_cropped/pigmentation/30_left.png,1,1,1,2,1,[  5.22003871   0.         150.         232.           0.99933773]
../skintelligent-1-sep-2019/RS_Clean images/106611-5245724-f4c02bf648d671fe9bd8c807bdfae8db.json,RS_Clean images_cropped/106611-5245724-f4c02bf648d671fe9bd8c807bdfae8db.jpg,1,1,1,1,1,[ 44.48089357   0.         300.0211741  324.9425533    0.99955052]
../skintelligent-1-sep-2019/RS_Clean images/25-6214845-85f5bafb4f765999f32f558b8304ccc5.json,RS_Clean images_cropped/25-6214845-85f5bafb4f765999f32f558b8304ccc5.jpg,1,1,1,2,1,[ 32.09258416   0.         304.1648479  340.           0.99997759]
../skintelligent-1-sep-2019/RS_Clean images/106611-7217474-698b2057d5f6dcb090c20c19ca508de7.json,RS_Clean images_cropped/106611-7217474-698b2057d5f6dcb090c20c19ca508de7.jpg,1,2,1,2,1,[ 59.68184927   0.         289.04716472 293.07229631   0.99994922]
../skintelligent-1-sep-2019/RS_Clean images/106611-8836407-242d1203d7b7e785eb7f0887ff273c5c.json,RS_Clean images_cropped/106611-8836407-242d1203d7b7e785eb7f0887ff273c5c.jpg,2,1,2,2,1,[ 14.44139075   0.         315.2072258  331.30063209   0.99905175]
../skintelligent-1-sep-2019/RS_Clean images/25-7553277-5870f95537bd82135dda96dbd7309b7b.json,RS_Clean images_cropped/25-7553277-5870f95537bd82135dda96dbd7309b7b.jpg,2,2,2,1,1,[ 39.81090413   0.         295.9894329  340.           0.99843496]
../skintelligent-1-sep-2019/RS_Clean images/237-925602-87894782cf656bea912ebf937f7c4f3f.json,RS_Clean images_cropped/237-925602-87894782cf656bea912ebf937f7c4f3f.jpg,3,2,3,3,1,[ 29.98851086   0.         319.80475764 395.00213055   0.99978429]
../skintelligent-1-sep-2019/RS_Clean images/106611-5205178-79bfcc0aa18861fc50401e97b33f58ac.json,RS_Clean images_cropped/106611-5205178-79bfcc0aa18861fc50401e97b33f58ac.jpg,1,1,2,1,1,[ 44.1282738    0.         290.88662167 334.99339893   0.96877754]
../skintelligent-1-sep-2019/RS_Clean images/25-6360996-5149881774b8c15177b3d2b5e2c2deab.json,RS_Clean images_cropped/25-6360996-5149881774b8c15177b3d2b5e2c2deab.jpg,2,2,1,1,1,[  1.00302951   0.         337.12956541 340.           0.99837768]
../skintelligent-1-sep-2019/RS_Clean images/106611-6943140-4bbab4ea5b67727b95d9f057cbe8c22c.json,RS_Clean images_cropped/106611-6943140-4bbab4ea5b67727b95d9f057cbe8c22c.jpg,1,1,2,2,1,[ 49.40391417   0.         287.82961349 340.           0.99998784]
../skintelligent-1-sep-2019/brightness/Blue-Peel-after-1087104-1886060.json,Google_Clean images_cropped/brightness/Blue-Peel-after-1087104-1886060.jpg,2,1,2,1,1,[ 11.62583171   0.         315.28241216 407.9683109    0.99968112]
../skintelligent-1-sep-2019/sagging skin/121_left.json,Google_Clean images_cropped/sagging skin/121_left.png,1,1,2,1,1,[ 93.30080594   0.         328.34667501 337.14754455   0.99690813]
../skintelligent-1-sep-2019/RS_Clean images/25-5519497-2d0c934c42778df96e141013d34e8f1a.json,RS_Clean images_cropped/25-5519497-2d0c934c42778df96e141013d34e8f1a.jpg,1,3,1,1,1,[ 24.04283538   0.         308.78888192 340.           0.99999475]
../skintelligent-1-sep-2019/acne/11_right.json,Google_Clean images_cropped/acne/11_right.png,1,1,1,1,1,[  9.08951654   0.         375.         500.           0.99999309]
../skintelligent-1-sep-2019/RS_Clean images/25-4408392-191af488e5da0ea7fcebf7db1b9c89bf.json,RS_Clean images_cropped/25-4408392-191af488e5da0ea7fcebf7db1b9c89bf.jpg,1,2,2,1,1,[  5.17431511   0.         340.         446.           0.99996328]
../skintelligent-1-sep-2019/pigmentation/29_right.json,Google_Clean images_cropped/pigmentation/29_right.png,1,2,1,2,1,[  0.           0.         226.44710225 498.34638603   0.99999893]
../skintelligent-1-sep-2019/RS_Clean images/215-6791432-32431c78a6f9e9ddd6980a5da2c2b8d0.json,RS_Clean images_cropped/215-6791432-32431c78a6f9e9ddd6980a5da2c2b8d0.jpg,2,1,2,3,1,[ 39.98232146   0.         310.99758809 337.83515228   0.99999881]
../skintelligent-1-sep-2019/RS_Clean images/106611-8977157-91b37e6544a28eecde2746a6d1cffa57.json,RS_Clean images_cropped/106611-8977157-91b37e6544a28eecde2746a6d1cffa57.jpg,1,3,2,2,1,[ 36.58670061   0.         325.39908564 340.           0.99998724]
../skintelligent-1-sep-2019/RS_Clean images/25-4553318-fb0fa2094f5d0ebcca7093ccce295dc1.json,RS_Clean images_cropped/25-4553318-fb0fa2094f5d0ebcca7093ccce295dc1.jpg,1,1,1,1,1,[ 26.67505844   0.         304.96707945 337.1668503    0.98205155]
../skintelligent-1-sep-2019/RS_Clean images/106611-3969007-8a16e35eda615318ef1e6816c8871c9e.json,RS_Clean images_cropped/106611-3969007-8a16e35eda615318ef1e6816c8871c9e.jpg,2,3,2,2,1,[ 20.62065039   0.         305.68370939 340.           0.99989057]
../skintelligent-1-sep-2019/RS_Clean images/106611-4463864-f83da42b9c6d480ebc5fb93856009057.json,RS_Clean images_cropped/106611-4463864-f83da42b9c6d480ebc5fb93856009057.jpg,2,1,1,1,1,[  4.93330286   0.         340.         361.           0.99975449]
../skintelligent-1-sep-2019/RS_Clean images/25-8883118-7b4fad3bf8c78f71de2eaf3cd9036267.json,RS_Clean images_cropped/25-8883118-7b4fad3bf8c78f71de2eaf3cd9036267.jpg,1,1,1,1,1,[ 24.93153965   0.         298.83560991 356.00482781   0.99705672]
../skintelligent-1-sep-2019/wrinkles/Wrinkle-Treatment-after-4726688-3000350.json,Google_Clean images_cropped/wrinkles/Wrinkle-Treatment-after-4726688-3000350.png,1,1,2,1,1,[  0.          0.        296.        296.          0.9998728]
../skintelligent-1-sep-2019/RS_Clean images/106611-8298872-297f780aa5860c1ccf8d96505b737931.json,RS_Clean images_cropped/106611-8298872-297f780aa5860c1ccf8d96505b737931.jpg,1,1,3,1,1,[  3.11735834   0.         333.45303255 340.           0.9999975 ]
../skintelligent-1-sep-2019/RS_Clean images/215-5968897-22d7479d76b72cc164b80e27225ac967.json,RS_Clean images_cropped/215-5968897-22d7479d76b72cc164b80e27225ac967.jpg,2,2,3,1,1,[ 86.57895866  49.21113577 230.70665342 266.51792097   0.99999464]
../skintelligent-1-sep-2019/sagging skin/Facelift-after-247360.json,Google_Clean images_cropped/sagging skin/Facelift-after-247360.jpg,2,2,2,1,1,[  0.           0.         340.         416.21951817   0.99994349]
../skintelligent-1-sep-2019/RS_Clean images/106611-5413464-cd1392dcc9e5e5b3227f05438801add8.json,RS_Clean images_cropped/106611-5413464-cd1392dcc9e5e5b3227f05438801add8.jpg,2,2,1,3,1,[ 13.72153715   0.         315.24814104 340.           0.9999603 ]
../skintelligent-1-sep-2019/RS_Clean images/215-8231467-b23130e3873ecd006cdbc2fe4d4c57d5.json,RS_Clean images_cropped/215-8231467-b23130e3873ecd006cdbc2fe4d4c57d5.jpg,3,1,2,2,1,[ 52.75027435   0.         286.38373549 306.00583958   1.        ]
../skintelligent-1-sep-2019/sagging skin/187_right.json,Google_Clean images_cropped/sagging skin/187_right.png,3,2,1,1,1,[  0.           0.         326.75236318 413.58198291   0.99881363]
../skintelligent-1-sep-2019/RS_Clean images/106611-3444157-1099c5c8358580272e9c6a6242b58c42.json,RS_Clean images_cropped/106611-3444157-1099c5c8358580272e9c6a6242b58c42.jpg,1,1,3,1,1,[ 36.1550975    0.         294.87124454 340.           0.99996316]
../skintelligent-1-sep-2019/brightness/128_left.json,Google_Clean images_cropped/brightness/128_left.png,1,2,1,1,1,[  4.71447673   0.         258.86797875 307.21237906   0.99997616]
../skintelligent-1-sep-2019/pigmentation/86_left.json,Google_Clean images_cropped/pigmentation/86_left.png,1,2,1,3,1,[  0.           0.         150.         200.           0.99930847]
../skintelligent-1-sep-2019/fine lines/Dysport-after-6339951-3382975.json,Google_Clean images_cropped/fine lines/Dysport-after-6339951-3382975.png,1,1,3,1,1,[ 12.44129106   0.         270.52714311 300.           0.99993646]
../skintelligent-1-sep-2019/RS_Clean images/25-3787485-3700689e2431202ba313d6d590f22939.json,RS_Clean images_cropped/25-3787485-3700689e2431202ba313d6d590f22939.jpg,2,2,3,2,1,[ 66.48132766   0.         301.03321462 340.           0.99995399]
../skintelligent-1-sep-2019/RS_Clean images/106611-7442969-fb99b27ca3d62dee5d736d9c59ebddaa.json,RS_Clean images_cropped/106611-7442969-fb99b27ca3d62dee5d736d9c59ebddaa.jpg,1,1,1,1,1,[ 58.7691328    0.         267.63207315 272.10513033   0.99999774]
../skintelligent-1-sep-2019/RS_Clean images/106611-5476879-ac2e87883dadd19cbee4633164782adb.json,RS_Clean images_cropped/106611-5476879-ac2e87883dadd19cbee4633164782adb.jpg,1,2,1,3,1,[  0.           0.         340.         340.           0.99978799]
../skintelligent-1-sep-2019/RS_Clean images/237-6866170-843eb2031ba020742a2612c6c93272f3.json,RS_Clean images_cropped/237-6866170-843eb2031ba020742a2612c6c93272f3.jpg,2,1,1,1,1,[ 28.93013601   0.         318.18081577 373.37720458   0.99996388]
../skintelligent-1-sep-2019/under eye bags/Eye-Bags-Treatment-before-1946365-2325923.json,Google_Clean images_cropped/under eye bags/Eye-Bags-Treatment-before-1946365-2325923.jpg,1,3,1,1,1,[  3.11035503   0.         340.         340.           0.99999452]
../skintelligent-1-sep-2019/RS_Clean images/25-8912870-02a5ebe4b78b51ac66824d28f7149827.json,RS_Clean images_cropped/25-8912870-02a5ebe4b78b51ac66824d28f7149827.jpg,1,1,1,1,1,[ 89.91011444  46.72523884 242.32628459 270.88562172   0.99717522]
../skintelligent-1-sep-2019/brightness/57_right.json,Google_Clean images_cropped/brightness/57_right.png,1,1,1,3,1,[ 24.77207464   0.         235.54657958 292.           0.99999654]
../skintelligent-1-sep-2019/RS_Clean images/25-6770971-43f70c96b9e6222145f12eabd687a5a3.json,RS_Clean images_cropped/25-6770971-43f70c96b9e6222145f12eabd687a5a3.jpg,1,1,2,2,1,
../skintelligent-1-sep-2019/RS_Clean images/25-1605466-e202e85ca259d5e06a5270d99be3dd0d.json,RS_Clean images_cropped/25-1605466-e202e85ca259d5e06a5270d99be3dd0d.jpg,1,2,2,1,1,[ 19.3268687    0.         213.20375472 243.           0.99999988]
../skintelligent-1-sep-2019/RS_Clean images/25-8822652-8dbf9a6512eeb17fecdd1c0740431069.json,RS_Clean images_cropped/25-8822652-8dbf9a6512eeb17fecdd1c0740431069.jpg,1,1,1,1,1,[  7.65065092   0.         238.83321937 336.           0.99793148]
../skintelligent-1-sep-2019/RS_Clean images/106611-7803308-e4c3c3c4179fd6b9c94cc7f1e40b63c7.json,RS_Clean images_cropped/106611-7803308-e4c3c3c4179fd6b9c94cc7f1e40b63c7.jpg,1,1,1,1,1,[ 16.35864174   0.         304.58067734 340.           0.99999464]
../skintelligent-1-sep-2019/sagging skin/Facelift-after-252907-1833371.json,Google_Clean images_cropped/sagging skin/Facelift-after-252907-1833371.jpg,2,2,1,1,1,[ 19.72230101   0.         326.23374393 412.94436996   0.99940217]
../skintelligent-1-sep-2019/pigmentation/Melasma-Treatment-before-2581693-2583511.json,Google_Clean images_cropped/pigmentation/Melasma-Treatment-before-2581693-2583511.jpg,1,1,1,3,1,[  0.           0.         340.         340.           0.99949408]
../skintelligent-1-sep-2019/RS_Clean images/25-6920011-f7d1346b39214af7423be0fc57b89e5b.json,RS_Clean images_cropped/25-6920011-f7d1346b39214af7423be0fc57b89e5b.jpg,1,1,1,1,1,[  0.           0.         338.98794773 382.           0.9999969 ]
../skintelligent-1-sep-2019/pigmentation/73_right.json,Google_Clean images_cropped/pigmentation/73_right.png,1,1,1,2,1,[  7.13488142   0.         342.4595544  464.           0.99986124]
../skintelligent-1-sep-2019/RS_Clean images/106611-3202219-530b192934ba2760b1070d03b0126bce.json,RS_Clean images_cropped/106611-3202219-530b192934ba2760b1070d03b0126bce.jpg,1,1,1,2,1,[ 59.61927032   0.         290.81566417 303.5795513    0.9998641 ]
../skintelligent-1-sep-2019/RS_Clean images/25-2261384-c547d05c08e36dbc8605b87c1912efe9.json,RS_Clean images_cropped/25-2261384-c547d05c08e36dbc8605b87c1912efe9.jpg,2,2,3,2,1,[  4.65640695   0.         340.         340.           0.99992216]
../skintelligent-1-sep-2019/RS_Clean images/25-2236187-ecdb5ecc1a97919b402e654ced6c85fd.json,RS_Clean images_cropped/25-2236187-ecdb5ecc1a97919b402e654ced6c85fd.jpg,2,2,3,2,1,[  5.91911547   0.         338.98138238 340.           0.99998319]
../skintelligent-1-sep-2019/RS_Clean images/25-4718861-9b0ebec98db2a7968a4879df498269c4.json,RS_Clean images_cropped/25-4718861-9b0ebec98db2a7968a4879df498269c4.jpg,1,1,1,2,1,[ 49.06437069   0.         269.56600866 330.83385743   0.99998975]
../skintelligent-1-sep-2019/fine lines/Dysport-after-1619525-2180770.json,Google_Clean images_cropped/fine lines/Dysport-after-1619525-2180770.png,1,1,1,1,1,[ 24.03972945   0.         233.         364.           0.99997056]
../skintelligent-1-sep-2019/RS_Clean images/25-517200-7339b47dd6ab67280f65a4629f29ea5c.json,RS_Clean images_cropped/25-517200-7339b47dd6ab67280f65a4629f29ea5c.jpg,2,2,2,2,1,[  0.           0.         329.40454845 455.           1.        ]
../skintelligent-1-sep-2019/RS_Clean images/25-6212991-636aaef4056ee993e8afada5a39084e7.json,RS_Clean images_cropped/25-6212991-636aaef4056ee993e8afada5a39084e7.jpg,1,2,1,2,1,[ 93.6031979    5.60489796 234.14008961 235.42062886   0.99968028]
../skintelligent-1-sep-2019/sagging skin/182_right.json,Google_Clean images_cropped/sagging skin/182_right.png,1,1,1,1,1,[  9.21333792   0.         190.83242662 256.25550907   0.99133259]
../skintelligent-1-sep-2019/RS_Clean images/106611-8510763-3e77ed0cac817d7cca50fcec00fcf3ab.json,RS_Clean images_cropped/106611-8510763-3e77ed0cac817d7cca50fcec00fcf3ab.jpg,1,2,3,2,1,[ 63.0994723    0.         266.50605195 230.           0.99976569]
../skintelligent-1-sep-2019/RS_Clean images/25-4824549-1a077f7a00a1f647dabdde7e8304ff50.json,RS_Clean images_cropped/25-4824549-1a077f7a00a1f647dabdde7e8304ff50.jpg,1,2,2,1,1,[ 61.51369589   0.         271.81960236 284.73665558   0.99931049]
../skintelligent-1-sep-2019/sagging skin/175_left.json,Google_Clean images_cropped/sagging skin/175_left.png,3,2,3,3,1,[ 16.26067649   0.         460.94799353 647.5227973    0.99915838]
../skintelligent-1-sep-2019/acne/91_right.json,Google_Clean images_cropped/acne/91_right.png,1,1,1,1,1,[ 26.33722221   0.         653.         784.           0.99939466]
../skintelligent-1-sep-2019/RS_Clean images/106611-3645854-bdb68562a3b654a517a23efde3feceec.json,RS_Clean images_cropped/106611-3645854-bdb68562a3b654a517a23efde3feceec.jpg,1,3,3,1,1,[ 40.02980145   0.         295.93704859 340.           0.99990761]
../skintelligent-1-sep-2019/RS_Clean images/106611-7914684-4e30ba9cd8129e99f6ed7c80d40cd515.json,RS_Clean images_cropped/106611-7914684-4e30ba9cd8129e99f6ed7c80d40cd515.jpg,1,2,2,1,1,[ 25.49859354   0.         304.85622655 340.           0.99992919]
../skintelligent-1-sep-2019/RS_Clean images/25-8516788-fe6e370d7638bc946fe05ec0ec09d287.json,RS_Clean images_cropped/25-8516788-fe6e370d7638bc946fe05ec0ec09d287.jpg,2,3,1,2,1,[ 35.25517758   0.         280.91124154 315.           0.99999928]
../skintelligent-1-sep-2019/brightness/94_right.json,Google_Clean images_cropped/brightness/94_right.png,1,1,1,1,1,[ 86.48608475  10.82086525 295.96999363 306.56870289   0.99730468]
../skintelligent-1-sep-2019/brightness/18_right.json,Google_Clean images_cropped/brightness/18_right.png,1,2,1,2,1,[  0.           0.         509.69608501 718.           0.99999583]
../skintelligent-1-sep-2019/RS_Clean images/215-1357110-c0d19901973965139e6d1eceebcfa9b3.json,RS_Clean images_cropped/215-1357110-c0d19901973965139e6d1eceebcfa9b3.jpg,1,1,1,3,1,[  0.           0.         340.         432.           0.99990404]
../skintelligent-1-sep-2019/RS_Clean images/25-7527020-6fd3a08666e479e8a3225722d7ad93c6.json,RS_Clean images_cropped/25-7527020-6fd3a08666e479e8a3225722d7ad93c6.jpg,1,1,1,2,1,[ 43.18931455   0.         307.58177606 340.           0.99986875]
../skintelligent-1-sep-2019/RS_Clean images/25-5172981-0aaed3cbf6a78c29db450bfa2c561321.json,RS_Clean images_cropped/25-5172981-0aaed3cbf6a78c29db450bfa2c561321.jpg,1,2,1,2,1,[ 61.95636256   0.         261.83681844 277.27869679   0.9999814 ]
